State,Year,Decade,Region,DHS Denominator,Number of Firms,Calculated.Net Job Creation,Calculated.Net Job Creation Rate,Calculated.Reallocation Rate,Establishments.Entered,Establishments.Entered Rate,Establishments.Exited,Establishments.Exited Rate,Establishments.Physical Locations,Firm Exits.Count,Firm Exits.Establishment Exit,Firm Exits.Employments,Job Creation.Births,Job Creation.Continuers,Job Creation.Count,Job Creation.Rate,Job Creation.Rate/Births,Job Destruction.Continuers,Job Destruction.Count,Job Destruction.Deaths,Job Destruction.Rate,Job Destruction.Rate/Deaths
California,1993,1990`s,West,796306,43077,28548,3.585,25.776,6340,12.521,4849,9.576,51382,3321,3379,18645,42840,88336,131176,16.473,5.38,67114,102628,35514,12.888,4.46
California,1994,1990`s,West,825058,44218,26605,3.225,26.776,6710,12.874,4983,9.56,52985,3567,3655,25357,54002,83061,137063,16.613,6.545,66396,110458,44062,13.388,5.34
California,1995,1990`s,West,858672,45420,44756,5.212,24.002,6765,12.616,5105,9.521,54451,3649,3698,22992,51194,96611,147805,17.213,5.962,61456,103049,41593,12.001,4.844
California,1996,1990`s,West,882170,45793,14861,1.685,26.37,6477,11.871,5379,9.858,55112,3926,4027,22548,45942,85231,131173,14.869,5.208,80142,116312,36170,13.185,4.1
California,1997,1990`s,West,895203,46053,8218,0.918,29.708,6733,12.183,6037,10.924,55612,4210,4322,26136,53097,88094,141191,15.772,5.931,82428,132973,50545,14.854,5.646
California,1998,1990`s,West,922751,46036,31008,3.36,26.554,6376,11.432,5963,10.692,55979,4091,4190,24594,61383,92140,153523,16.638,6.652,77926,122515,44589,13.277,4.832
California,1999,1990`s,West,943436,46052,11678,1.238,27.748,6351,11.334,5822,10.39,56297,3997,4124,24834,49784,92788,142572,15.112,5.277,82686,130894,48208,13.874,5.11
California,2000,2000`s,West,968477,46170,39707,4.1,23.72,6342,11.259,5732,10.176,56635,3803,3890,21067,50458,104111,154569,15.96,5.21,73114,114862,41748,11.86,4.311
California,2001,2000`s,West,986636,45611,1893,0.192,28.709,6183,10.959,6009,10.651,56506,4114,4217,24086,56517,87004,143521,14.547,5.728,95047,141628,46581,14.355,4.721
California,2002,2000`s,West,980693,46004,-23954,-2.443,30.701,6864,12.064,5877,10.329,57392,3807,3932,24705,53568,96975,150543,15.351,5.462,110753,174497,63744,17.793,6.5
California,2003,2000`s,West,974066,46517,11289,1.159,26.552,6425,11.137,5295,9.178,58258,3545,3609,17237,45830,94777,140607,14.435,4.705,89251,129318,40067,13.276,4.113
California,2004,2000`s,West,986354,47068,13631,1.382,26.416,6174,10.554,5262,8.995,58957,3606,3665,19580,47047,96864,143911,14.59,4.77,85514,130280,44766,13.208,4.539
California,2005,2000`s,West,1004015,47527,16115,1.605,24.377,6495,10.944,5364,9.038,59915,3824,3881,21881,48631,89860,138491,13.794,4.844,86179,122376,36197,12.189,3.605
California,2006,2000`s,West,1026867,47887,31250,3.043,22.95,7483,12.399,5978,9.905,61105,4387,4471,23301,55309,93776,149085,14.518,5.386,80928,117835,36907,11.475,3.594
California,2007,2000`s,West,1033552,48029,-14136,-1.368,27.713,6588,10.757,5642,9.213,61715,3771,3815,21751,49684,93528,143212,13.856,4.807,112096,157348,45252,15.224,4.378
California,2008,2000`s,West,1017922,47447,-13191,-1.296,24.912,5700,9.291,5932,9.67,61231,4007,4087,21950,41422,85371,126793,12.456,4.069,99687,139984,40297,13.752,3.959
California,2009,2000`s,West,990343,46617,-44083,-4.451,22.402,5383,8.846,6119,10.055,60486,4090,4185,25139,43892,67034,110926,11.201,4.432,111008,155009,44001,15.652,4.443
California,2010,2010`s,West,966526,46127,-4982,-0.515,23.845,5162,8.573,5277,8.764,60158,3472,3580,20230,39359,75876,115235,11.923,4.072,86280,120217,33937,12.438,3.511
California,2011,2010`s,West,969367,45703,13419,1.384,22.559,5216,8.712,5260,8.785,59851,3419,3579,16934,39398,83361,122759,12.664,4.064,79056,109340,30284,11.28,3.124
California,2012,2010`s,West,973269,45646,-2904,-0.298,23.885,5001,8.381,4846,8.122,59746,3088,3165,17744,29737,86498,116235,11.943,3.055,83787,119139,35352,12.241,3.632
California,2013,2010`s,West,973906,45507,3076,0.316,23.185,5164,8.661,4886,8.194,59766,3164,3246,19218,35851,80123,115974,11.908,3.681,72955,112898,39943,11.592,4.101
California,2014,2010`s,West,980549,45398,11010,1.123,21.075,4830,8.093,4573,7.663,59808,3107,3164,15675,35568,78765,114333,11.66,3.627,66942,103323,36381,10.537,3.71
California,2015,2010`s,West,992222,45337,12920,1.302,21.539,5065,8.467,4578,7.653,60061,2973,3038,17254,38191,81588,119779,12.072,3.849,72613,106859,34246,10.77,3.451
California,2016,2010`s,West,1009435,45669,22031,2.183,20.078,5447,9.018,4435,7.343,60907,3065,3110,17133,41527,81842,123369,12.222,4.114,73795,101338,27543,10.039,2.729
California,2017,2010`s,West,1018685,45771,14738,1.447,23.266,5220,8.56,4699,7.706,61242,3086,3181,18229,39656,93586,133242,13.08,3.893,82547,118504,35957,11.633,3.53
California,2018,2010`s,West,1032493,45821,15456,1.497,20.143,4857,7.938,4518,7.384,61356,3306,3425,19374,33312,86132,119444,11.569,3.226,74355,103988,29633,10.072,2.87
